Rank,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Long,TDs,20+,40+,1st,1st%,Fumbles
289,C.J. Anderson,CAR,RB,1,24,24.0,8.0,24T,1,1,0,1,100.0,0
289,Antony Auclair,TB,TE,1,8,8.0,2.0,8,0,0,0,0,0.0,0
289,Nick Bellore,DET,FB,1,-5,-5.0,-1.2,-5,0,0,0,0,0.0,0
289,Alfred Blue,HOU,RB,1,4,4.0,1.0,4,0,0,0,0,0.0,0
289,Tommy Bohanon,JAX,RB,1,5,5.0,1.2,5,0,0,0,0,0.0,0
289,Michael Burton,CHI,FB,1,6,6.0,2.0,6,0,0,0,1,100.0,0
289,Trenton Cannon,NYJ,RB,1,6,6.0,1.5,6,0,0,0,1,100.0,0
289,DeAndre Carter,PHI,WR,1,10,10.0,3.3,10,0,0,0,1,100.0,0
289,Sammie Coates,HOU,WR,1,12,12.0,6.0,12,0,0,0,1,100.0,0
289,Dane Cruikshank,TEN,DB,1,66,66.0,16.5,66T,1,1,1,1,100.0,0
289,Benny Cunningham,CHI,RB,1,9,9.0,2.2,9,0,0,0,1,100.0,0
289,Patrick DiMarco,BUF,RB,1,24,24.0,6.0,24,0,1,0,1,100.0,0
289,Alex Erickson,CIN,WR,1,8,8.0,2.0,8,0,0,0,0,0.0,0
289,Tyler Ervin,HOU,RB,1,12,12.0,3.0,12,0,0,0,0,0.0,0
289,Nick Foles,PHI,QB,1,10,10.0,5.0,15,0,0,0,1,100.0,0
289,Royce Freeman,DEN,RB,1,5,5.0,1.2,5,0,0,0,1,100.0,0
289,Mike Gillislee,NO,RB,1,9,9.0,2.2,9,0,0,0,0,0.0,0
289,Jermaine Gresham,ARI,TE,1,9,9.0,4.5,9,0,0,0,1,100.0,0
289,Justin Hardee,NO,DB,1,10,10.0,2.5,10,0,0,0,1,100.0,0
289,Justin Hardy,ATL,WR,1,4,4.0,1.0,4,0,0,0,0,0.0,0
289,Taysom Hill,NO,QB,1,-4,-4.0,-1.0,-4,0,0,0,0,0.0,0
289,Jeremy Hill,NE,RB,1,6,6.0,6.0,6,0,0,0,0,0.0,0
289,Justin Hunter,PIT,WR,1,6,6.0,6.0,6,0,0,0,1,100.0,0
289,Ronald Jones,TB,RB,1,-1,-1.0,-1.0,-1,0,0,0,0,0.0,0
289,Ryan Kelly,IND,C,1,-4,-4.0,-1.0,-4,0,0,0,0,0.0,0
289,Marcus Kemp,KC,WR,1,7,7.0,1.8,7,0,0,0,0,0.0,0
289,Matt LaCosse,DEN,TE,1,17,17.0,4.2,17,0,0,0,1,100.0,0
289,Khari Lee,BUF,TE,1,5,5.0,2.5,5,0,0,0,0,0.0,0
289,Marlon Mack,IND,RB,1,2,2.0,2.0,2,0,0,0,0,0.0,0
289,Tre Madden,SEA,FB,1,7,7.0,1.8,7,0,0,0,0,0.0,0
289,Josh Malone,CIN,WR,1,12,12.0,3.0,12,0,0,0,1,100.0,0
289,Ray-Ray McCloud,BUF,WR,1,6,6.0,3.0,6,0,0,0,0,0.0,0
289,Raheem Mostert,SF,RB,1,8,8.0,2.0,8,0,0,0,0,0.0,0
289,J.J. Nelson,ARI,WR,1,4,4.0,1.0,4,0,0,0,0,0.0,0
289,Roosevelt Nix,PIT,FB,1,19,19.0,4.8,19,0,0,0,1,100.0,0
289,Tim Patrick,DEN,WR,1,26,26.0,6.5,26,0,1,0,1,100.0,0
289,Stevan Ridley,PIT,RB,1,5,5.0,1.7,5,0,0,0,0,0.0,0
289,Michael Roberts,DET,TE,1,15,15.0,7.5,15T,1,0,0,1,100.0,0
289,Russell Shepard,NYG,WR,1,9,9.0,2.2,9,0,0,0,1,100.0,0
289,Scott Simonson,NYG,TE,1,7,7.0,1.8,7,0,0,0,1,100.0,0
289,Tre'Quan Smith,NO,WR,1,18,18.0,4.5,18,0,0,0,1,100.0,0
289,Rod Smith,DAL,RB,1,0,0.0,0.0,0,0,0,0,0,0.0,0
289,Vyncint Smith,HOU,WR,1,28,28.0,9.3,28,0,1,0,1,100.0,0
289,De'Lance Turner,BAL,RB,1,10,10.0,3.3,10,0,0,0,0,0.0,0
289,Tim White,BAL,WR,1,14,14.0,7.0,14,0,0,0,1,100.0,0
289,Jonathan Williams,NO,RB,1,1,1.0,0.3,1,0,0,0,0,0.0,0
337,Orson Charles,CLE,TE,0,0,--,0.0,--,0,0,0,0,--,0
337,Jehu Chesson,WAS,WR,0,0,--,0.0,--,0,0,0,0,--,0
337,Mason Crosby,GB,K,0,0,--,0.0,--,0,0,0,0,--,0
337,Alan Cross,TB,TE,0,0,--,0.0,--,0,0,0,0,--,0
337,Rico Gathers,DAL,TE,0,0,--,0.0,--,0,0,0,0,--,0
337,Shelton Gibson,PHI,WR,0,0,--,0.0,--,0,0,0,0,--,0
337,Xavier Grimble,PIT,TE,0,0,--,0.0,--,0,0,0,0,--,0
337,Ryan Hewitt,IND,TE,0,0,--,0.0,--,0,0,0,0,--,0
337,Lamar Jackson,BAL,QB,0,0,--,0.0,--,0,0,0,0,--,0
